HouseType,HouseType_ID,BuilderName,Builder_ID,BrokerName,Broker_ID,SellerName,Seller_ID,CustomerName,Customer_ID,Customer_Address,Customer_CellNumber,PaymentMethod,PaymentMethod_ID,MortgageProvider,MortgageProvider_ID,SalePrice,SaleDate
Mansion,8,Builder_16,16,Broker_15,15,Seller_231,231,Kelly Robertson,144,"1670 Ingram Prairie Apt. 707
Fordview, UT 21365",(445)651-6720x8869,Apple Pay,9,TD Bank,7,504856.68,2023-10-06
Penthouse,6,Builder_11,11,Broker_3,3,Seller_184,184,Bryan Porter,116,"PSC 5759, Box 9762
APO AA 28553",895.968.1316x280,Cheque,5,Bank of America,1,979097.42,2022-02-08
Bungalow,9,Builder_18,18,Broker_2,2,Seller_726,726,James Moore,8,"53394 Wendy Common
New Tracyhaven, AS 00638",4619165081,Gift Card,10,US Bank,4,407846.38,2022-11-17
Duplex,5,Builder_18,18,Broker_1,1,Seller_287,287,Brenda Gonzalez,134,"0514 Jarvis Union Apt. 232
Brittanytown, FL 93788",259.801.9206x9477,Gift Card,10,PNC Bank,6,842549.79,2022-09-11
Mansion,8,Builder_7,7,Broker_4,4,Seller_580,580,Morgan Russell,75,"7764 Erica Common Suite 396
North Ryantown, AS 57394",472-610-6103,Gift Card,10,Bank of America,1,849186.8,2022-07-05
Studio,10,Builder_20,20,Broker_8,8,Seller_877,877,Frank Roach,176,"630 Evans Stravenue
Mcdonaldfort, CA 10490",290-268-8092x55847,Cheque,5,Wells Fargo,3,922408.28,2022-06-25
Townhouse,2,Builder_5,5,Broker_13,13,Seller_784,784,Renee Gonzalez,90,"8184 Julie Mission
Jensenborough, NC 74048",(771)779-7343,PayPal,7,Wells Fargo,3,234082.4,2020-12-24
Duplex,5,Builder_15,15,Broker_11,11,Seller_290,290,Steven Pitts,189,"9479 Jackson Landing
Lake Donald, ID 28309",841.302.3601x993,Debit Card,2,Chase Bank,2,863605.82,2023-06-04
Mansion,8,Builder_18,18,Broker_12,12,Seller_382,382,Jason Wilson,81,"5297 Green Alley Apt. 905
Lake Joseph, KY 42135",407-650-0739,Gift Card,10,Bank of America,1,999196.81,2023-05-12
Bungalow,9,Builder_5,5,Broker_7,7,Seller_554,554,Matthew Reed,102,"18693 Thomas Mountain Apt. 108
South Leroyview, WY 51328",453.339.0204,Debit Card,2,Capital One,9,483950.36,2023-12-04
Duplex,5,Builder_3,3,Broker_2,2,Seller_567,567,Spencer Baldwin,49,"360 Brian Forest
New Russell, RI 31323",970.766.4158x179,Debit Card,2,SunTrust Bank,8,993876.42,2023-12-12
Mansion,8,Builder_14,14,Broker_2,2,Seller_302,302,Daniel Webb,177,"701 Marks Way Apt. 258
North Amberburgh, ND 75070",001-911-972-4357x5412,Bank Transfer,4,Capital One,9,591401.06,2022-11-20
Apartment,1,Builder_6,6,Broker_14,14,Seller_34,34,Kathryn Miller,137,"757 Rachel Knolls
Baldwinland, ND 75464",001-933-601-9755,PayPal,7,Bank of America,1,353320.58,2024-09-25
Villa,4,Builder_17,17,Broker_6,6,Seller_448,448,Jonathon Wilson,170,"1629 Renee Canyon Suite 182
Marcomouth, VT 39717",001-850-812-7629x79491,Debit Card,2,Capital One,9,375750.11,2020-11-16
Studio,10,Builder_7,7,Broker_4,4,Seller_174,174,Frank Roach,176,"561 Yesenia Spurs
Irwinstad, AK 30172",(753)905-6805x02064,Google Pay,8,Chase Bank,2,258738.3,2024-08-31
Studio,10,Builder_1,1,Broker_7,7,Seller_904,904,Larry Miller,72,"34061 Sarah Ferry
Richardchester, WA 51399",+1-349-997-1576,Debit Card,2,PNC Bank,6,991255.98,2024-02-04
Townhouse,2,Builder_13,13,Broker_27,27,Seller_922,922,Heather Suarez,3,"097 Jeffrey Ways
West Alexandria, AK 07317",001-250-933-7269x28729,Bank Transfer,4,US Bank,4,195445.7,2024-01-12
Mansion,8,Builder_14,14,Broker_8,8,Seller_153,153,Jessica Stephenson,24,"594 Kane Terrace Suite 626
Kyleport, GU 09564",(522)990-5699x946,Bank Transfer,4,TD Bank,7,562696.6,2020-11-09
Penthouse,6,Builder_8,8,Broker_30,30,Seller_407,407,Justin White,161,"4374 Barbara Street Apt. 906
New Elizabeth, NH 52738",(270)772-2628x6722,Cash,3,Capital One,9,885184.88,2022-05-06
Cottage,7,Builder_12,12,Broker_9,9,Seller_842,842,Cindy Burton,149,"7337 Joseph Via
Harrismouth, TN 30911",294.208.3528x574,Debit Card,2,PNC Bank,6,504201.51,2024-05-30
Single Family Home,3,Builder_9,9,Broker_27,27,Seller_509,509,Shannon Freeman,136,"160 Kara Extension
Evansport, TX 49649",509-297-7545x5217,Cash,3,Ally Bank,10,824571.06,2023-04-07
Townhouse,2,Builder_10,10,Broker_15,15,Seller_447,447,Ann Woodward,38,"94248 Mcintosh Dam
Curtiston, LA 68870",5746901363,Google Pay,8,Chase Bank,2,505175.3,2022-12-22
Villa,4,Builder_19,19,Broker_28,28,Seller_772,772,Rachel Gentry,103,"48704 Walton Lights Suite 085
Singhside, MI 41294",001-673-449-4372,Credit Card,1,US Bank,4,594410.4,2022-09-27
Bungalow,9,Builder_4,4,Broker_24,24,Seller_744,744,Matthew Washington DDS,183,"31263 Roy Flat
East Oliviaberg, WA 00790",690.765.3678x94380,Gift Card,10,Wells Fargo,3,862249.22,2023-12-21
Cottage,7,Builder_18,18,Broker_8,8,Seller_649,649,Leonard Guzman,150,"512 Carter Course
Smithhaven, PW 37286",2247337877,Cash,3,Chase Bank,2,297079.31,2020-10-07
Duplex,5,Builder_11,11,Broker_21,21,Seller_659,659,Jesse Todd,46,"2565 Christian Wells
North Michael, MO 59602",986.744.7739x5995,Cheque,5,US Bank,4,301384.65,2021-12-14
Townhouse,2,Builder_1,1,Broker_5,5,Seller_972,972,Anna Parrish,64,"5822 April Streets Suite 321
Brendaburgh, ND 45161",599.735.4149,Bank Transfer,4,US Bank,4,755826.18,2022-07-22
Apartment,1,Builder_11,11,Broker_26,26,Seller_164,164,Heather Rose,174,"17839 Bryant Plaza Suite 923
South Lauriefurt, OH 25513",895-354-6348x7509,Credit Card,1,Bank of America,1,816769.75,2022-08-21
Penthouse,6,Builder_15,15,Broker_7,7,Seller_35,35,Allen Brewer,12,"4910 Jenkins Shores Suite 884
West Bernardmouth, ID 67450",+1-802-891-5571x81682,Cheque,5,SunTrust Bank,8,892621.98,2021-05-24
Penthouse,6,Builder_4,4,Broker_17,17,Seller_933,933,Jaclyn Welch,152,"464 Wood Tunnel Suite 844
Townsendhaven, NH 04922",(646)712-9259,Bank Transfer,4,Capital One,9,194910.6,2021-10-25
Duplex,5,Builder_11,11,Broker_17,17,Seller_220,220,Robin James,194,"4253 White Glen
Barryburgh, MO 74011",532.795.7032x45393,Cryptocurrency,6,Citibank,5,179927.23,2020-12-15
Bungalow,9,Builder_16,16,Broker_28,28,Seller_203,203,Rebecca Davis,45,"USS Moreno
FPO AP 47575",985.512.9218x39917,Google Pay,8,Capital One,9,309773.7,2023-11-04
Apartment,1,Builder_6,6,Broker_7,7,Seller_520,520,Matthew Reed,102,"PSC 3154, Box 2565
APO AA 05241",+1-713-891-2421x9799,Cheque,5,Wells Fargo,3,345611.68,2024-09-24
Bungalow,9,Builder_1,1,Broker_16,16,Seller_201,201,Dr. Jonathan Costa,160,"8845 Bailey Plaza Apt. 371
Robertsfurt, WV 10243",+1-508-624-3883,Cryptocurrency,6,Chase Bank,2,586848.72,2020-06-07
Studio,10,Builder_15,15,Broker_28,28,Seller_804,804,Luke Murphy,28,"227 Zachary Tunnel
Port Joannview, AS 42616",6534785010,Bank Transfer,4,Capital One,9,775128.92,2022-10-21
Apartment,1,Builder_17,17,Broker_28,28,Seller_933,933,Rebecca Davis,45,"PSC 2684, Box 6080
APO AA 17586",001-727-926-4034x321,PayPal,7,SunTrust Bank,8,940957.27,2023-07-13
Villa,4,Builder_2,2,Broker_16,16,Seller_295,295,Jonathan Simmons,36,"054 Christian Gardens Suite 016
South Christianstad, SD 69099",+1-478-302-8037,Gift Card,10,Ally Bank,10,363479.2,2023-04-22
Cottage,7,Builder_6,6,Broker_4,4,Seller_543,543,Jordan Mckee,88,"87426 Williams Light
Blackshire, IN 96440",725-681-1300x7912,Debit Card,2,Bank of America,1,636883.74,2023-06-22
Apartment,1,Builder_10,10,Broker_30,30,Seller_319,319,Laura Thomas,155,"25556 Brown Forks Apt. 832
Jeromeport, RI 11243",921-445-5911,Cheque,5,TD Bank,7,886526.13,2022-07-12
Villa,4,Builder_12,12,Broker_23,23,Seller_11,11,Debbie Butler,66,"514 Karina Track Suite 100
East Charlotteside, VI 24941",526.284.0922,Gift Card,10,Chase Bank,2,767890.28,2024-06-04
Mansion,8,Builder_12,12,Broker_13,13,Seller_106,106,Cindy Burton,149,"7035 Catherine Islands Apt. 711
New Kellimouth, IN 45650",+1-826-598-7015x4052,Cryptocurrency,6,Chase Bank,2,669934.65,2023-03-29
Mansion,8,Builder_19,19,Broker_30,30,Seller_330,330,Justin White,161,"47689 Susan Pass
Lake Kaitlin, OR 32505",(481)219-7351x7453,Cash,3,PNC Bank,6,562623.69,2020-06-21
Single Family Home,3,Builder_3,3,Broker_11,11,Seller_466,466,Evan Osborne,132,"523 Billy Forge
New Kennethfort, RI 01123",779.884.5702,Debit Card,2,Chase Bank,2,873405.04,2024-05-11
Bungalow,9,Builder_11,11,Broker_29,29,Seller_713,713,Steven Simpson,178,"Unit 5004 Box 1713
DPO AE 20882",001-928-564-2797x960,PayPal,7,Chase Bank,2,394276.11,2020-12-25
Bungalow,9,Builder_15,15,Broker_10,10,Seller_9,9,Renee Gonzalez,90,"42868 Ronald Course
Port Nathanberg, IN 86379",886.482.1431x7723,Cash,3,Wells Fargo,3,535777.5,2022-08-13
