SalesID,CarModel,CarModel_ID,EmployeeName,Employee_ID,Employee_Address,Employee_CellNumber,Manufacturer,Manufacturer_ID,CustomerName,Customer_ID,Customer_Address,Customer_CellNumber,PaymentMethod,PaymentMethod_ID,SalePrice,SaleDate,CarYear,CarColor,Customer_Email,WarrantyStatus
1,Golf,45,Jacqueline Thompson,6,"37115 Derek Shoals Apt. 710
Fernandezburgh, NV 18961",352-455-5569x31859,Volkswagen,10,Daniel Ramos,9,"Unit 1295 Box 5305
DPO AE 21946",+1-367-726-1303,Cheque,5,27959.76,2021-06-29,2018,Silver,vallen@example.org,Active
2,Traverse,20,Jacqueline Thompson,6,"00056 Edward Crossing Apt. 647
Mitchellchester, VA 32266",480-827-5231x21990,Chevrolet,4,Sean Gonzalez,67,"8535 Galvan Mountain Suite 088
Palmertown, FM 25332",468-453-0745,Apple Pay,9,47321.79,2020-01-05,2024,White,awarren@example.net,Active
3,Corolla,1,Danielle Cochran,11,"72905 John Dam Suite 039
Port Dianeport, CO 59514",001-329-725-2671x0975,Toyota,1,Dana Davis,127,"874 Hernandez Knoll Apt. 710
Port Brandy, OK 65388",001-965-390-6179x75576,Cryptocurrency,6,57557.7,2021-06-28,2019,Yellow,aclark@example.net,Expired
4,F-150,6,Jacqueline Thompson,6,"67735 Theresa Villages
South Mariachester, AZ 16363",(318)911-6382x03215,Ford,2,Jacqueline Lewis,74,"6939 Christopher Squares Suite 261
West Patrick, NE 33588",001-779-793-3204,Google Pay,8,81054.95,2020-11-04,2017,Black,wmartin@example.com,Expired
5,Model X,43,Latoya Lloyd,8,"69618 Eaton Radial
Port Daniel, NC 50465",360.224.0632x0519,Tesla,9,Mario Cook,3,"0328 Armstrong Parkway Apt. 691
South Edward, PA 15748",469.889.1050x048,Google Pay,8,32323.36,2023-10-22,2018,Silver,earias@example.net,Active
6,S-Class,35,Michele Moreno,1,"6725 Jessica Pine
East Davidbury, PR 80423",576.231.2509x2217,Mercedes-Benz,7,Aaron Cantrell,12,"391 Joshua Causeway
West Sheri, WV 62930",676-624-5050x8085,Bank Transfer,4,67689.39,2021-06-05,2016,Green,kevinclark@example.com,Active
7,Odyssey,15,Danielle Cochran,11,"PSC 2231, Box 8225
APO AA 61988",+1-846-610-1599x9211,Honda,3,Kara Barrera,137,"325 Lopez Flat Apt. 984
South Ronaldmouth, NC 34913",311.780.1727,Credit Card,1,62241.65,2021-01-02,2018,White,xgilbert@example.net,Active
8,Jetta,46,Jacqueline Thompson,6,"30022 Destiny Glen
South Paulbury, CO 98230",553.742.8916,Volkswagen,10,Mrs. Kristin Reid,112,"58662 Edward Dale Apt. 999
Lake Michele, MT 41914",+1-511-495-1916x840,Apple Pay,9,45554.48,2023-05-12,2015,White,leonedward@example.com,Active
9,GLC,34,Jason Pearson,5,"348 Matthew Spurs
Katiebury, NV 02440",986.995.5861x0242,Mercedes-Benz,7,Patricia Bennett,72,"066 Lamb Shore Apt. 043
North Reginald, PW 14500",741.205.8337x04332,Cryptocurrency,6,39046.56,2024-06-24,2015,Silver,sarah41@example.net,Expired
10,Model 3,42,Jason Pearson,5,"26035 Johnson Junction
North Kari, DC 03681",935-842-4627,Tesla,9,Brett Stokes,107,"363 Livingston Cliffs
North Eric, KY 49001",(260)366-5974,Google Pay,8,55397.86,2023-11-02,2024,Red,martinpaul@example.com,Active
11,Maxima,25,Latoya Lloyd,8,"3132 Eric Lights Apt. 005
Jessicahaven, AS 44697",7592621147,Nissan,5,Amy Peterson DVM,95,"307 Joe Spurs Apt. 208
Port Ericfort, MT 25650",(985)729-1008,Credit Card,1,87583.11,2020-02-11,2024,Red,lisa23@example.net,Active
12,Edge,10,Rebecca Neal,4,"85822 Daryl Cliffs
North Edward, RI 36859",433.728.5326x441,Ford,2,Nancy Rosales,102,"PSC 7642, Box 9896
APO AE 09285",321-864-2293x21686,Debit Card,2,78399.01,2024-05-25,2023,Yellow,ewalker@example.com,Expired
13,Atlas,49,Victoria Harris,13,"7632 Hill Row Apt. 518
Chelseafort, IA 66536",+1-303-290-9085x73023,Volkswagen,10,Philip Mata,42,"45305 Ingram Burg
South Megan, MO 93829",+1-860-857-7805x19478,Google Pay,8,80227.25,2024-09-30,2021,White,melissa45@example.net,Expired
14,Q7,40,Danielle Cochran,11,"351 Farmer Fords Suite 274
South Yvettefort, MN 86475",+1-508-806-4481x87906,Audi,8,Thomas Scott,2,"6676 Smith Port Suite 620
North Brittany, MD 93381",(475)817-6715x928,Credit Card,1,30924.64,2024-03-31,2023,Yellow,davisashley@example.net,Active
15,Atlas,49,Scott Dougherty,14,"PSC 8670, Box 3943
APO AE 18455",846.740.7463x43445,Volkswagen,10,Gregory Pena,140,"4440 Daniel Route Suite 144
Dannyborough, AR 59275",+1-868-489-5337x20027,PayPal,7,58562.52,2023-04-02,2016,Red,elizabeth16@example.com,Active
16,CR-V,13,Jason Pearson,5,"05452 Joseph Dale
Garrettton, IL 61747",001-518-586-9225,Honda,3,Robert Wright,141,"776 Williams Stravenue
Geraldberg, SD 08718",(244)740-4242x956,PayPal,7,63270.82,2024-04-19,2016,Red,brenda50@example.org,Active
17,Corolla,1,Julian Coffey,9,"04943 James Motorway Apt. 914
Dianaview, IA 39560",(335)208-3663,Toyota,1,Craig Sandoval,25,"8309 Nelson Hollow Apt. 258
East Tinachester, AS 94321",801-798-5275x9320,Cheque,5,32067.23,2022-02-13,2024,Blue,william92@example.com,Expired
18,Q7,40,Latoya Lloyd,8,"9599 Moore Road
Lawrenceland, NV 23718",215.918.3504,Audi,8,Holly Byrd,30,"25568 James Locks
Port Haydenland, TN 90332",650-298-6181,Cheque,5,74865.44,2021-08-18,2015,White,jessica28@example.net,Expired
19,Highlander,4,Jacqueline Thompson,6,"06436 Hobbs Plaza Suite 878
Mitchellview, VT 81324",917-795-0018,Toyota,1,Jennifer Green,147,"3222 Berger Harbors
Caldwellberg, VA 25132",859.912.7267x0745,Gift Card,10,69424.37,2023-10-13,2024,Black,antonioreyes@example.org,Active
20,Odyssey,15,Julian Coffey,9,"9532 Russell Point
Hernandezbury, UT 77503",922-967-8511x9539,Honda,3,Lauren Maddox,108,"81303 Willis Roads
Robertside, OH 63185",897-323-2644x11606,Debit Card,2,27669.58,2021-11-30,2022,Silver,youngbradley@example.net,Active
21,Odyssey,15,Victoria Harris,13,"38427 Stevenson Avenue
Janiceside, AR 81190",+1-866-811-7292x7466,Honda,3,Gina Zimmerman,121,"544 Garcia Stream
Brendaview, AK 01530",(333)423-1503x11616,Gift Card,10,43993.75,2023-09-16,2024,Yellow,epope@example.org,Active
22,Jetta,46,Kristen Thomas,3,"183 Williams Place Suite 891
South Amanda, SD 36066",+1-700-890-3209,Volkswagen,10,Eric Adams MD,63,"336 Justin Courts Suite 323
Jamesmouth, NY 21046",603-555-8957,Debit Card,2,49995.07,2024-07-22,2023,Red,ebony36@example.com,Active
23,M3,30,Kristen Thomas,3,"PSC 3154, Box 8188
APO AE 60009",495-428-0358x152,BMW,6,Sherry Meyers,86,"12167 Mckenzie Creek Suite 425
North Ryan, NC 07575",212-202-8473,Cryptocurrency,6,53074.39,2022-11-28,2023,Silver,jason82@example.net,Expired
24,Q7,40,Kristen Thomas,3,"05166 Joseph Junctions Apt. 533
Christopherberg, FM 40623",968-201-9563x567,Audi,8,Terri Wright,80,"205 Jimenez Gateway Suite 057
South Markburgh, MA 79751",(589)744-2547,Credit Card,1,30591.68,2021-05-23,2019,Red,qcain@example.com,Expired
25,Camry,2,Kristen Thomas,3,"42553 Wilson Shores Apt. 236
Natalieville, VA 45986",+1-342-531-2580x12454,Toyota,1,Amy Peterson DVM,95,"381 Reynolds Road
Lindseyfurt, UT 25230",298-959-4848,Credit Card,1,32165.94,2022-08-20,2017,Silver,joshuawood@example.net,Active
26,RAV4,5,Jason Pearson,5,"PSC 9845, Box 7825
APO AA 38077",823.528.2395,Toyota,1,Michael Day,5,"977 James Via
Port Erinport, VI 58904",400-653-3008,Debit Card,2,79784.48,2021-09-15,2015,Blue,youngandrea@example.com,Active
27,A4,37,Kristen Thomas,3,"7333 Erin Mountains Apt. 767
North Michael, RI 52624",001-947-549-2299x9291,Audi,8,Samantha Novak,125,"2447 Davis Islands Apt. 029
Barretthaven, NE 72895",001-247-244-9558x99976,PayPal,7,39649.09,2024-07-19,2017,Black,stonemichael@example.org,Active
28,Malibu,17,Latoya Lloyd,8,"1926 Edward Lights Suite 271
Jasonchester, VT 70056",245.322.7939x955,Chevrolet,4,Amy King,119,"62006 Kimberly Curve
Scottchester, AL 27724",268.666.7733x5590,Google Pay,8,45182.0,2021-04-28,2018,Black,hmassey@example.net,Active
29,Prius,3,Danielle Cochran,11,"495 Victoria Mountains
Petersonstad, VI 42319",001-917-985-7715x83059,Toyota,1,Priscilla Hebert,77,"81529 Daryl Walk Suite 729
New John, WV 22109",668-391-7346,Cryptocurrency,6,96250.15,2021-12-09,2022,Green,mccartyamanda@example.org,Expired
30,Mustang,7,Jacqueline Thompson,6,"34618 Kathryn Ports
Burgessburgh, NY 89627",(646)658-9326x5990,Ford,2,Sean Gonzalez,67,"USCGC Becker
FPO AA 44237",+1-511-908-2223x09297,Google Pay,8,20169.27,2023-02-14,2022,Silver,penny36@example.com,Expired
31,Corolla,1,Julian Coffey,9,"019 Rebecca Alley Apt. 845
Michelleville, PR 48418",(726)240-2496x791,Toyota,1,Laura Long,52,"Unit 6845 Box 5501
DPO AE 07436",(982)210-2597x97303,Cryptocurrency,6,37601.91,2020-06-20,2022,Red,hernandezjesse@example.net,Active
32,Passat,47,Scott Dougherty,14,"12436 Laura Common
Port Jennifer, WI 30007",997-217-5829x1938,Volkswagen,10,William Marshall,106,"787 Lopez Orchard Apt. 461
Kylemouth, RI 02685",3549459459,Bank Transfer,4,42596.6,2024-09-22,2017,Yellow,lambertlori@example.org,Expired
33,5 Series,27,Kristen Thomas,3,"5860 Kristin Unions Suite 318
Meredithside, NH 32511",405-320-8732,BMW,6,Timothy Thompson,73,"387 Tammy Canyon Suite 387
Lake Danielle, OR 30877",001-546-335-9413,Apple Pay,9,52068.92,2020-12-19,2019,Black,jeremy60@example.org,Expired
34,Maxima,25,Tanner Hunter,12,"44072 Black Port Suite 923
Stewartmouth, UT 47791",(203)784-7246,Nissan,5,Steven Johnson,60,"124 Lisa Lakes
Phillipsview, ME 50290",(418)502-5878x8881,PayPal,7,76799.44,2024-04-21,2015,Blue,brucelucas@example.org,Active
