SalesID,CarModel,CarModel_ID,EmployeeName,Employee_ID,Employee_Address,Employee_CellNumber,Manufacturer,Manufacturer_ID,CustomerName,Customer_ID,Customer_Address,Customer_CellNumber,PaymentMethod,PaymentMethod_ID,SalePrice,SaleDate,CarYear,CarColor,Customer_Email,WarrantyStatus
1,3 Series,26,John Pham,15,"653 Castro Track
Colemouth, NC 99382",806-787-1724,BMW,6,Jennifer Silva,1,"15724 Williams Turnpike Apt. 253
Maldonadomouth, DE 18586",806-499-2468x950,Apple Pay,9,81557.98,2020-04-24,2017,Silver,richard22@example.net,Active
2,A3,36,Lori Cooper,12,"90045 Kelsey Station
North Robertshire, MP 52024",001-620-817-0997x3761,Audi,8,Linda Jensen,118,"086 Stevens Land
Christopherberg, DE 11724",001-612-303-2910x5249,Cash,3,27835.98,2024-02-03,2017,White,kellidunn@example.org,Active
3,Rogue,23,Danielle Smith,3,"964 Karen Prairie Apt. 921
Lake Andrew, MT 20963",(642)427-4389x03650,Nissan,5,Mitchell Harris,21,"2083 Christy Square
Terryside, NC 50048",839.401.7595,Cash,3,35945.22,2022-12-14,2021,Yellow,tammieholland@example.net,Active
4,Passat,47,Shawn Ruiz,8,"39083 Juarez Curve
Port Kristaview, OR 66293",984-901-7397x648,Volkswagen,10,David Carey,143,"090 Janet Court Apt. 326
East Dawnfort, AK 75812",(384)753-2206,Gift Card,10,47944.61,2020-08-22,2021,Silver,kimberly19@example.org,Expired
5,Traverse,20,Stephen Bradley,1,"002 Phillips Pike Suite 646
Lisaville, VT 24671",470.899.7157x08472,Chevrolet,4,Allen Atkins,44,"29340 Griffin Terrace Suite 712
Rodneyshire, TN 45547",245-680-3985x80041,Debit Card,2,23581.01,2020-07-19,2018,Blue,bowmanjacob@example.com,Expired
6,Atlas,49,Leslie Thomas,14,"7602 Smith Glen Apt. 568
Phillipsfurt, NY 06178",962-955-8459x578,Volkswagen,10,Christopher Long,82,"4256 Phillips Fords
West Brittany, SD 64401",001-972-521-1864x699,Credit Card,1,36443.17,2024-04-09,2022,Red,mitchellchristopher@example.com,Expired
7,Equinox,18,Leslie Thomas,14,"68669 Chavez Pike Suite 608
Kathleenfort, MO 98952",738-976-5753x53154,Chevrolet,4,Sheri Johnson,27,"136 Sarah Mall
North Christopher, MI 11379",(737)451-8117,Debit Card,2,55940.52,2023-05-26,2020,Yellow,gperez@example.net,Active
8,A3,36,Danielle Smith,3,"94902 Davis Inlet
Amberland, MD 57322",720.564.8606x57357,Audi,8,Marcus Wolf,16,"62032 Randy Center
North Brandy, MA 23429",001-513-904-3451x2860,Google Pay,8,96634.91,2020-04-01,2022,Red,dtorres@example.net,Expired
9,A4,37,Shawn Ruiz,8,"008 Smith Prairie Apt. 987
Rachelville, VA 83219",889-341-1854x53664,Audi,8,Jennifer Marshall,102,"USCGC Torres
FPO AP 35831",(717)697-5052,PayPal,7,57557.03,2022-05-10,2018,Blue,brandon12@example.net,Active
10,Tiguan,48,Brianna Ross,10,"684 Lauren Lane Suite 564
Dustinhaven, KS 28659",266.277.4834x74883,Volkswagen,10,Janet Simon,52,"505 Justin Spurs Apt. 100
Tracyfurt, NH 72442",5785630288,Bank Transfer,4,40622.0,2021-01-10,2021,Red,beckyharris@example.net,Active
11,Equinox,18,Amy Walter,5,"USNS Quinn
FPO AE 67243",817.474.4096,Chevrolet,4,Susan Morales,36,"1832 Romero Plains
Wallaceside, MP 43399",+1-820-691-7156x057,Gift Card,10,80640.37,2022-11-23,2015,Yellow,uallen@example.org,Expired
12,Equinox,18,Danielle Smith,3,"5180 Martinez Summit
Lake Leslieview, MI 18664",(994)351-4373,Chevrolet,4,Michael Cox,33,"6093 Spencer Glen Apt. 909
Perkinsfurt, UT 62562",796-272-9071x2091,Gift Card,10,97807.88,2021-07-04,2019,Silver,matthewhanson@example.org,Active
13,Odyssey,15,Leslie Thomas,14,"18109 Stewart Springs
East Kevinfort, TX 07914",652-639-6014x191,Honda,3,Eric Atkins,113,"107 Hill Square
Cruzshire, MN 47683",001-618-523-4845x977,Gift Card,10,74249.8,2022-09-07,2015,Blue,amandapowers@example.com,Active
14,Camry,2,Amy Walter,5,"USS Casey
FPO AP 42786",+1-731-420-3881,Toyota,1,Meghan Walker,14,"26710 James Roads Apt. 882
Port Larrystad, MA 89072",8518850920,Google Pay,8,71539.81,2023-09-14,2021,Yellow,amandawalters@example.net,Active
15,Odyssey,15,Amy Walter,5,"304 Scott Gardens Apt. 600
South Roystad, ND 72605",+1-418-647-4024x9188,Honda,3,James Lewis,67,"3976 Kari Keys
New David, UT 97753",433.412.5141,Bank Transfer,4,53236.56,2024-09-03,2023,White,maria00@example.net,Expired
16,Corolla,1,John Smith,7,"71014 Kathryn Shores
Grahamshire, OH 16471",240-289-4081x345,Toyota,1,Eric Atkins,113,"27677 Rick Port
Stanleychester, WV 55058",358.465.1657,Cash,3,39570.01,2023-07-23,2023,Blue,zachary39@example.net,Expired
17,A3,36,Shawn Ruiz,8,"381 Mckenzie Plains
Port Sherry, OR 28410",415.412.9914,Audi,8,Phillip Fowler,10,"490 Sherri Circle
Langburgh, NH 53952",940-608-0151,PayPal,7,41684.48,2020-12-14,2022,Blue,ernest93@example.com,Expired
18,Silverado,16,Shawn Ruiz,8,"7351 Hurley Key Suite 501
East Sydney, MS 43118",(493)284-4403,Chevrolet,4,Alan Ramirez,104,"0686 Nguyen Mills Suite 528
Michaelville, VI 82119",606.375.4498x3178,Bank Transfer,4,47349.59,2021-08-31,2018,Black,gscott@example.net,Active
19,RAV4,5,Stephen Bradley,1,"3990 Thompson Villages
Barreraport, MI 62161",001-826-619-6959x5149,Toyota,1,Cindy Grant,142,"5703 Jones Cliffs Suite 716
West Yolandaville, FM 59962",939-274-6974x2303,Gift Card,10,43083.87,2023-06-04,2023,Red,emily78@example.com,Expired
20,X5,28,Leslie Thomas,14,"33776 Nunez Station Apt. 918
Ericville, NM 25968",918.915.5125x8672,BMW,6,Anna Lopez,106,"0362 Daniel Land Suite 641
New Amy, MT 20457",393.282.8984,Cheque,5,93785.34,2024-06-06,2020,Blue,gregoryphelps@example.com,Active
21,Sentra,22,Leslie Thomas,14,"33906 Wilson Turnpike
East Christinachester, WI 37630",(975)663-0625,Nissan,5,Sarah Hernandez,19,"2039 Ross Springs Apt. 990
Wallaceshire, WA 53719",824.319.4737,Cryptocurrency,6,38361.62,2022-01-23,2024,White,benjaminjackson@example.org,Active
22,Impala,19,Leslie Thomas,14,"02786 Jones Green
Marytown, SD 04585",001-464-647-9868,Chevrolet,4,Tracey Reed,13,"192 Jake Ville
Kathleenchester, DE 79548",001-937-829-3764x3763,Cryptocurrency,6,82616.26,2023-12-12,2023,White,jared20@example.net,Active
23,5 Series,27,Cheryl Harrison,2,"Unit 5434 Box 4091
DPO AA 13714",814.532.4269,BMW,6,Mindy Jackson,8,"50086 Kathryn Ways
New Jessica, WA 29140",(767)202-7691x5786,Debit Card,2,77205.99,2022-04-19,2016,Black,maryanderson@example.net,Active
24,Impala,19,Amy Walter,5,"0650 Thomas Bypass
Holderborough, NH 17516",(469)606-6573x36759,Chevrolet,4,Luis Allen,72,"986 Christy Brook
East Trevor, WA 40950",001-825-883-6781x9213,Cryptocurrency,6,22721.48,2024-08-17,2017,Silver,jackguzman@example.com,Expired
25,Prius,3,Cheryl Harrison,2,"5160 Dennis Junction
West Garyfurt, OR 06244",+1-239-805-1551x1041,Toyota,1,Aaron Briggs,61,"01704 Michael Street Suite 017
New Melissaberg, HI 47804",547.538.6932,Apple Pay,9,88949.63,2024-03-27,2019,Red,valenzuelawilliam@example.org,Expired
26,Pilot,14,Stephen Bradley,1,"Unit 7082 Box 8844
DPO AA 98230",550.979.5913,Honda,3,Janet Simon,52,"0214 Michael Circles
Christopherside, MA 87968",+1-827-355-7675x656,Debit Card,2,33651.12,2022-01-25,2023,Silver,ibarraderrick@example.com,Expired
27,Impala,19,Craig Anderson,13,"99686 Ann Run Suite 319
Port Davidland, CO 20718",001-312-510-5373x18959,Chevrolet,4,Elijah Gray,65,"960 Yates Terrace
East Matthewmouth, GU 46900",873-660-3343x6482,Bank Transfer,4,30284.47,2020-01-03,2019,Red,speck@example.org,Active
28,Equinox,18,Stephen Bradley,1,"305 Kelly Fall
North Brandy, MP 40831",+1-219-635-9832,Chevrolet,4,Cynthia Shields,34,"Unit 4416 Box 8156
DPO AA 84621",(668)605-5772x53113,Bank Transfer,4,87181.37,2020-07-04,2021,Green,saraparks@example.com,Active
29,Camry,2,Lori Cooper,12,"7661 Melanie Ramp Suite 767
Masonton, NH 87215",(556)940-2249x7710,Toyota,1,Alan Smith,17,"7294 Cruz Green
Allenland, MA 03606",(951)730-9516,Apple Pay,9,43713.1,2020-12-14,2020,Silver,victoria87@example.com,Active
30,Tiguan,48,Craig Anderson,13,"43430 Ross Club
East Joseph, IA 81236",553-537-9835x72209,Volkswagen,10,Bailey Smith,96,"394 Amber Fords
Murraytown, TN 30284",+1-304-993-1444x58005,Bank Transfer,4,38334.14,2023-06-30,2022,Silver,greernicholas@example.com,Active
31,GLC,34,Cheryl Harrison,2,"68949 Gonzales Harbor
West Patricia, NM 79416",845-623-3734,Mercedes-Benz,7,Michael Martin,93,"6364 Taylor Island
West Wendybury, MH 63912",+1-901-779-7607x845,Cash,3,89157.53,2022-10-05,2024,Yellow,brian73@example.com,Active
32,Murano,24,Lori Cooper,12,"9748 Hayes Mission
New Jack, MS 35893",(541)638-1139,Nissan,5,Sarah Whitney,32,"7713 David Pine Suite 488
South Ninastad, GU 66505",(228)469-0586x38602,Cryptocurrency,6,87105.17,2022-12-13,2019,Red,jodi28@example.org,Active
33,5 Series,27,Cheryl Harrison,2,"09121 Sharon Knolls
Katieville, NH 44078",576.798.8714x319,BMW,6,Alec Grant,55,"53945 Diamond Stravenue
Smithmouth, FM 73074",(639)377-7605x4125,Cryptocurrency,6,61430.42,2023-06-08,2022,White,jamesgray@example.net,Active
34,Escape,9,Stephen Bradley,1,"994 Mcdowell Crest Suite 133
Allisontown, FL 02515",239.893.6832x57816,Ford,2,Susan Morales,36,"63930 Jones Prairie
Lake Jonathan, IN 53241",(782)627-0539,Cash,3,41779.26,2024-01-20,2022,Red,lewisronnie@example.net,Active
35,Accord,12,Danielle Smith,3,"989 Crawford Gateway
New Stephanietown, RI 12654",+1-706-471-2349x3116,Honda,3,Regina Vega,11,"061 Moreno Pike
Kylietown, UT 99254",473-628-0460,Google Pay,8,58025.98,2020-02-26,2015,Red,ucampbell@example.net,Expired
36,A3,36,Craig Anderson,13,"179 Nguyen Springs
Christopherstad, MH 27522",001-931-447-2581x0492,Audi,8,Phillip Coleman,46,"0911 Julie Vista
Lake Selenaville, NJ 64285",001-290-367-8602x3340,Bank Transfer,4,37106.51,2024-01-25,2017,Silver,gary01@example.net,Expired
